mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses,generated_by_osm2gmns
0,1,6106985023,,2,1,1,219,1,1,1,41529697,330693951,left,,,,WBL,"LINESTRING (-111.9302969 33.4237502, -111.9303269 33.4236081)",,,auto,1
1,1,6106985023,,218,1,1,1,1,1,1,330693951,41529697,right,,,,NBR,"LINESTRING (-111.9303269 33.4236081, -111.9302969 33.4237502)",,,auto,1
2,2,41529697,,1,1,1,7,1,1,1,6106985023,41736777,left,,,,EBL,"LINESTRING (-111.9291611 33.4242753, -111.9291129 33.4243655)",,,auto,1
3,2,41529697,,1,1,1,144,1,1,1,6106985023,41459438,thru,,,,EBT,"LINESTRING (-111.9291611 33.4242753, -111.9289977 33.4243206)",,,auto,1
4,2,41529697,,1,1,1,164,1,1,1,6106985023,8122988905,right,,,,EBR,"LINESTRING (-111.9291611 33.4242753, -111.9290475 33.4242320)",,,auto,1
5,2,41529697,,8,1,1,2,1,1,1,41736777,6106985023,right,,,,SBR,"LINESTRING (-111.9291129 33.4243655, -111.9291611 33.4242753)",,,auto,1
6,2,41529697,,8,1,1,144,1,1,1,41736777,41459438,left,,,,SBL,"LINESTRING (-111.9291129 33.4243655, -111.9289977 33.4243206)",,,auto,1
7,2,41529697,,8,1,1,164,1,1,1,41736777,8122988905,left,,,,SBL,"LINESTRING (-111.9291129 33.4243655, -111.9290475 33.4242320)",,,auto,1
8,2,41529697,,145,1,1,2,1,1,1,41459438,6106985023,thru,,,,WBT,"LINESTRING (-111.9289977 33.4243206, -111.9291611 33.4242753)",,,auto,1
9,2,41529697,,145,1,1,7,1,1,1,41459438,41736777,right,,,,WBR,"LINESTRING (-111.9289977 33.4243206, -111.9291129 33.4243655)",,,auto,1
10,2,41529697,,145,1,1,164,1,1,1,41459438,8122988905,left,,,,WBL,"LINESTRING (-111.9289977 33.4243206, -111.9290475 33.4242320)",,,auto,1
11,2,41529697,,165,1,1,2,1,1,1,8122988905,6106985023,left,,,,WBL,"LINESTRING (-111.9290475 33.4242320, -111.9291611 33.4242753)",,,auto,1
12,2,41529697,,165,1,1,7,1,1,1,8122988905,41736777,right,,,,WBR,"LINESTRING (-111.9290475 33.4242320, -111.9291129 33.4243655)",,,auto,1
13,2,41529697,,165,1,1,144,1,1,1,8122988905,41459438,right,,,,WBR,"LINESTRING (-111.9290475 33.4242320, -111.9289977 33.4243206)",,,auto,1
14,5,5201685464,,6,1,1,124,1,1,1,41654675,5280009872,thru,,,,NBT,"LINESTRING (-111.9288523 33.4179822, -111.9288528 33.4181266)",,,auto,1
15,5,5201685464,,123,1,1,5,1,1,1,5280009872,41654675,thru,,,,SBT,"LINESTRING (-111.9288528 33.4181266, -111.9288523 33.4179822)",,,auto,1
16,6,41654675,,5,1,1,148,1,1,1,5201685464,5806210751,thru,,,,SBT,"LINESTRING (-111.9293563 33.4166949, -111.9294861 33.4166033)",,,auto,1
17,6,41654675,,5,1,1,210,1,1,1,5201685464,7121950852,left,,,,SBL,"LINESTRING (-111.9293563 33.4166949, -111.9293260 33.4166410)",,,auto,1
18,6,41654675,,122,1,1,6,1,1,1,317327702,5201685464,thru,,,,NBT,"LINESTRING (-111.9294445 33.4165731, -111.9293563 33.4166949)",,,auto,1
19,6,41654675,,122,1,1,148,1,1,1,317327702,5806210751,uturn,,,,NBU,"LINESTRING (-111.9294445 33.4165731, -111.9294861 33.4166033)",,,auto,1
20,6,41654675,,122,1,1,210,1,1,1,317327702,7121950852,right,,,,NBR,"LINESTRING (-111.9294445 33.4165731, -111.9293260 33.4166410)",,,auto,1
21,6,41654675,,211,1,1,6,1,1,1,7121950852,5201685464,right,,,,WBR,"LINESTRING (-111.9293260 33.4166410, -111.9293563 33.4166949)",,,auto,1
22,6,41654675,,211,1,1,148,1,1,1,7121950852,5806210751,thru,,,,WBT,"LINESTRING (-111.9293260 33.4166410, -111.9294861 33.4166033)",,,auto,1
23,8,5333539971,,10,1,1,155,1,1,1,10270682090,5333560369,thru,,,,NBT,"LINESTRING (-111.9366291 33.4174052, -111.9366386 33.4175490)",,,auto,1
24,8,5333539971,,154,1,1,9,1,1,1,5333560369,10270682090,thru,,,,SBT,"LINESTRING (-111.9366386 33.4175490, -111.9366291 33.4174052)",,,auto,1
25,8,5333539971,,185,1,1,9,1,1,1,2625359002,10270682090,right,,,,EBR,"LINESTRING (-111.9367184 33.4174765, -111.9366291 33.4174052)",,,auto,1
26,8,5333539971,,185,1,1,155,1,1,1,2625359002,5333560369,left,,,,EBL,"LINESTRING (-111.9367184 33.4174765, -111.9366386 33.4175490)",,,auto,1
27,9,10270682090,,9,1,1,11,1,1,1,5333539971,330683946,thru,,,,SBT,"LINESTRING (-111.9366156 33.4162772, -111.9366126 33.4161329)",,,auto,1
28,9,10270682090,,9,1,1,38,1,1,1,5333539971,5200239624,left,,,,SBL,"LINESTRING (-111.9366156 33.4162772, -111.9365292 33.4161991)",,,auto,1
29,9,10270682090,,12,1,1,10,1,1,1,330683946,5333539971,thru,,,,NBT,"LINESTRING (-111.9366126 33.4161329, -111.9366156 33.4162772)",,,auto,1
30,9,10270682090,,12,1,1,38,1,1,1,330683946,5200239624,right,,,,NBR,"LINESTRING (-111.9366126 33.4161329, -111.9365292 33.4161991)",,,auto,1
31,9,10270682090,,39,1,1,10,1,1,1,5200239624,5333539971,right,,,,WBR,"LINESTRING (-111.9365292 33.4161991, -111.9366156 33.4162772)",,,auto,1
32,9,10270682090,,39,1,1,11,1,1,1,5200239624,330683946,left,,,,WBL,"LINESTRING (-111.9365292 33.4161991, -111.9366126 33.4161329)",,,auto,1
33,11,41995466,,14,1,1,18,1,1,1,2625359006,3712803330,left,,,,EBL,"LINESTRING (-111.9382172 33.4190771, -111.9381212 33.4191580)",,,auto,1
34,11,41995466,,17,1,1,13,1,1,1,3712803330,2625359006,right,,,,SBR,"LINESTRING (-111.9381212 33.4191580, -111.9382172 33.4190771)",,,auto,1
35,14,3712803330,,15,1,1,17,1,1,1,2065989266,41995466,thru,,,,SBT,"LINESTRING (-111.9381329 33.4205876, -111.9381300 33.4204433)",,,auto,1
36,14,3712803330,,15,1,1,208,1,1,1,2065989266,10271040745,right,,,,SBR,"LINESTRING (-111.9381329 33.4205876, -111.9382180 33.4205145)",,,auto,1
37,14,3712803330,,18,1,1,16,1,1,1,41995466,2065989266,thru,,,,NBT,"LINESTRING (-111.9381300 33.4204433, -111.9381329 33.4205876)",,,auto,1
38,14,3712803330,,18,1,1,208,1,1,1,41995466,10271040745,left,,,,NBL,"LINESTRING (-111.9381300 33.4204433, -111.9382180 33.4205145)",,,auto,1
39,14,3712803330,,209,1,1,16,1,1,1,10271040745,2065989266,left,,,,EBL,"LINESTRING (-111.9382180 33.4205145, -111.9381329 33.4205876)",,,auto,1
40,14,3712803330,,209,1,1,17,1,1,1,10271040745,41995466,right,,,,EBR,"LINESTRING (-111.9382180 33.4205145, -111.9381300 33.4204433)",,,auto,1
41,15,41800245,,20,1,1,129,1,1,1,5414658105,5201685466,left,,,,WBL,"LINESTRING (-111.9288474 33.4202592, -111.9289238 33.4201876)",,,auto,1
42,15,41800245,,20,1,1,132,1,1,1,5414658105,3101278945,right,,,,WBR,"LINESTRING (-111.9288474 33.4202592, -111.9289429 33.4203310)",,,auto,1
43,15,41800245,,130,2,2,19,1,1,1,5201685466,5414658105,right,,,,NBR,"LINESTRING (-111.9289238 33.4201876, -111.9288474 33.4202592)",,,auto,1
44,15,41800245,,130,1,1,132,1,1,1,5201685466,3101278945,thru,,,,NBT,"LINESTRING (-111.9289238 33.4201876, -111.9289429 33.4203310)",,,auto,1
45,15,41800245,,131,1,1,19,1,1,1,3101278945,5414658105,left,,,,SBL,"LINESTRING (-111.9289429 33.4203310, -111.9288474 33.4202592)",,,auto,1
46,15,41800245,,131,2,2,129,1,1,1,3101278945,5201685466,thru,,,,SBT,"LINESTRING (-111.9289429 33.4203310, -111.9289238 33.4201876)",,,auto,1
47,20,5280009872,,23,1,1,123,1,1,1,4716137952,5201685464,right,,,,EBR,"LINESTRING (-111.9289396 33.4184342, -111.9288541 33.4183653)",,,auto,1
48,20,5280009872,,23,1,1,126,1,1,1,4716137952,5201685465,left,,,,EBL,"LINESTRING (-111.9289396 33.4184342, -111.9288552 33.4185096)",,,auto,1
49,20,5280009872,,124,1,1,24,1,1,1,5201685464,4716137952,left,,,,NBL,"LINESTRING (-111.9288541 33.4183653, -111.9289396 33.4184342)",,,auto,1
50,20,5280009872,,124,2,2,126,1,1,1,5201685464,5201685465,thru,,,,NBT,"LINESTRING (-111.9288541 33.4183653, -111.9288552 33.4185096)",,,auto,1
51,20,5280009872,,125,1,1,24,1,1,1,5201685465,4716137952,right,,,,SBR,"LINESTRING (-111.9288552 33.4185096, -111.9289396 33.4184342)",,,auto,1
52,20,5280009872,,125,1,1,123,1,1,1,5201685465,5201685464,thru,,,,SBT,"LINESTRING (-111.9288552 33.4185096, -111.9288541 33.4183653)",,,auto,1
53,23,1501648933,,221,2,2,27,1,1,1,10307913574,330689192,thru,,,,SBT,"LINESTRING (-111.9255300 33.4194052, -111.9254108 33.4193012)",,,auto,1
54,25,1501649040,,29,1,1,217,1,1,1,5201685470,330693951,thru,,,,WBT,"LINESTRING (-111.9300842 33.4230443, -111.9302391 33.4231065)",,,auto,1
55,25,1501649040,,214,1,1,28,1,1,1,41529691,5201685470,thru,,,,EBT,"LINESTRING (-111.9302485 33.4230848, -111.9300842 33.4230443)",,,auto,1
56,25,1501649040,,214,1,1,217,1,1,1,41529691,330693951,uturn,,,,EBU,"LINESTRING (-111.9302485 33.4230848, -111.9302391 33.4231065)",,,auto,1
57,26,5201685470,,28,1,1,135,1,1,1,1501649040,5201685469,thru,,,,EBT,"LINESTRING (-111.9295615 33.4227913, -111.9294193 33.4227099)",,,auto,1
58,26,5201685470,,136,1,1,29,1,1,1,5201685469,1501649040,thru,,,,WBT,"LINESTRING (-111.9294193 33.4227099, -111.9295615 33.4227913)",,,auto,1
59,28,2941419921,,30,1,1,31,1,1,1,10647888727,330693619,thru,,,,EBT,"LINESTRING (-111.9338485 33.4249933, -111.9336891 33.4249389)",,,auto,1
60,29,330693619,,31,1,1,143,1,1,1,2941419921,41529691,thru,,,,EBT,"LINESTRING (-111.9313341 33.4233952, -111.9311874 33.4233198)",,,auto,1
61,30,330693951,,215,1,1,32,1,1,1,41529691,330693678,left,,,,NBL,"LINESTRING (-111.9304258 33.4231164, -111.9304905 33.4232163)",,,auto,1
62,30,330693951,,215,1,1,218,1,1,1,41529691,6106985023,thru,,,,NBT,"LINESTRING (-111.9304258 33.4231164, -111.9303971 33.4232587)",,,auto,1
63,30,330693951,,217,1,1,32,1,1,1,1501649040,330693678,thru,,,,WBT,"LINESTRING (-111.9303365 33.4231523, -111.9304905 33.4232163)",,,auto,1
64,30,330693951,,217,1,1,216,1,1,1,1501649040,41529691,left,,,,WBL,"LINESTRING (-111.9303365 33.4231523, -111.9304258 33.4231164)",,,auto,1
65,30,330693951,,217,1,1,218,1,1,1,1501649040,6106985023,right,,,,WBR,"LINESTRING (-111.9303365 33.4231523, -111.9303971 33.4232587)",,,auto,1
66,30,330693951,,219,2,2,32,1,1,1,6106985023,330693678,right,,,,SBR,"LINESTRING (-111.9303971 33.4232587, -111.9304905 33.4232163)",,,auto,1
67,30,330693951,,219,1,1,216,1,1,1,6106985023,41529691,thru,,,,SBT,"LINESTRING (-111.9303971 33.4232587, -111.9304258 33.4231164)",,,auto,1
68,31,330693678,,32,1,1,33,1,1,1,330693951,2941419922,thru,,,,WBT,"LINESTRING (-111.9321163 33.4241999, -111.9322391 33.4243010)",,,auto,1
69,32,2941419922,,33,1,1,34,1,1,1,330693678,5201685473,thru,,,,WBT,"LINESTRING (-111.9333774 33.4249781, -111.9335351 33.4250357)",,,auto,1
70,36,5333560369,,155,1,1,37,1,1,1,5333539971,9880292082,left,,,,NBL,"LINESTRING (-111.9366408 33.4175545, -111.9367579 33.4176467)",,,auto,1
71,37,9880292082,,37,1,1,190,1,1,1,5333560369,2625359004,thru,,,,WBT,"LINESTRING (-111.9395554 33.4176205, -111.9397274 33.4176198)",,,auto,1
72,38,5200239624,,38,1,1,40,1,1,1,10270682090,42351327,thru,,,,EBT,"LINESTRING (-111.9350416 33.4161126, -111.9348696 33.4161126)",,,auto,1
73,38,5200239624,,38,1,1,59,1,1,1,10270682090,5200239623,right,,,,EBR,"LINESTRING (-111.9350416 33.4161126, -111.9349555 33.4160409)",,,auto,1
74,38,5200239624,,41,1,1,39,1,1,1,42351327,10270682090,thru,,,,WBT,"LINESTRING (-111.9348696 33.4161126, -111.9350416 33.4161126)",,,auto,1
75,38,5200239624,,41,1,1,59,1,1,1,42351327,5200239623,left,,,,WBL,"LINESTRING (-111.9348696 33.4161126, -111.9349555 33.4160409)",,,auto,1
76,39,42351327,,40,1,1,212,1,1,1,5200239624,330683944,right,,,,EBR,"LINESTRING (-111.9333249 33.4161142, -111.9332674 33.4159947)",,,auto,1
77,39,42351327,,213,1,1,41,1,1,1,330683944,5200239624,left,,,,NBL,"LINESTRING (-111.9332674 33.4159947, -111.9333249 33.4161142)",,,auto,1
78,41,2626242376,,42,1,1,47,1,1,1,2714317971,2626242375,right,,,,EBR,"LINESTRING (-111.9159389 33.4313981, -111.9159298 33.4312992)",,,auto,1
79,41,2626242376,,42,1,1,48,1,1,1,2714317971,6283476043,thru,,,,EBT,"LINESTRING (-111.9159389 33.4313981, -111.9158009 33.4313931)",,,auto,1
80,41,2626242376,,46,1,1,43,1,1,1,2626242375,2714317971,uturn,,,,NBU,"LINESTRING (-111.9159298 33.4312992, -111.9159389 33.4313981)",,,auto,1
81,41,2626242376,,46,1,1,48,1,1,1,2626242375,6283476043,thru,,,,NBT,"LINESTRING (-111.9159298 33.4312992, -111.9158009 33.4313931)",,,auto,1
82,41,2626242376,,49,1,1,43,1,1,1,6283476043,2714317971,thru,,,,WBT,"LINESTRING (-111.9158009 33.4313931, -111.9159389 33.4313981)",,,auto,1
83,41,2626242376,,49,1,1,47,1,1,1,6283476043,2626242375,thru,,,,WBT,"LINESTRING (-111.9158009 33.4313931, -111.9159298 33.4312992)",,,auto,1
84,42,10141144273,,45,1,1,79,1,1,1,2626242375,4346622269,right,,,,SBR,"LINESTRING (-111.9173285 33.4293996, -111.9174270 33.4293302)",,,auto,1
85,42,10141144273,,78,2,2,44,1,1,1,2714317961,2626242375,right,,,,WBR,"LINESTRING (-111.9172550 33.4293272, -111.9173285 33.4293996)",,,auto,1
86,42,10141144273,,78,1,1,79,1,1,1,2714317961,4346622269,thru,,,,WBT,"LINESTRING (-111.9172550 33.4293272, -111.9174270 33.4293302)",,,auto,1
87,43,2626242375,,44,1,1,46,1,1,1,10141144273,2626242376,thru,,,,NBT,"LINESTRING (-111.9165635 33.4304317, -111.9164741 33.4305550)",,,auto,1
88,43,2626242375,,44,1,1,153,1,1,1,10141144273,6283476302,left,,,,NBL,"LINESTRING (-111.9165635 33.4304317, -111.9165923 33.4305315)",,,auto,1
89,43,2626242375,,47,1,1,45,1,1,1,2626242376,10141144273,thru,,,,SBT,"LINESTRING (-111.9164741 33.4305550, -111.9165635 33.4304317)",,,auto,1
90,43,2626242375,,47,1,1,153,1,1,1,2626242376,6283476302,right,,,,SBR,"LINESTRING (-111.9164741 33.4305550, -111.9165923 33.4305315)",,,auto,1
91,43,2626242375,,152,1,1,45,1,1,1,6283476302,10141144273,right,,,,EBR,"LINESTRING (-111.9165923 33.4305315, -111.9165635 33.4304317)",,,auto,1
92,43,2626242375,,152,1,1,46,1,1,1,6283476302,2626242376,left,,,,EBL,"LINESTRING (-111.9165923 33.4305315, -111.9164741 33.4305550)",,,auto,1
93,44,6283476043,,48,1,1,161,1,1,1,2626242376,8119660259,left,,,,EBL,"LINESTRING (-111.9147812 33.4321696, -111.9148074 33.4322660)",,,auto,1
94,44,6283476043,,48,1,1,162,1,1,1,2626242376,8119660259,left,,,,EBL,"LINESTRING (-111.9147812 33.4321696, -111.9146589 33.4322527)",,,auto,1
95,44,6283476043,,160,1,1,49,1,1,1,8119660259,2626242376,right,,,,SBR,"LINESTRING (-111.9148074 33.4322660, -111.9147812 33.4321696)",,,auto,1
96,44,6283476043,,163,1,1,49,1,1,1,8119660259,2626242376,right,,,,SBR,"LINESTRING (-111.9146589 33.4322527, -111.9147812 33.4321696)",,,auto,1
97,46,5133355429,,50,1,3,107,1,3,3,41529701_2704829968,2704829974,thru,,,,NBT,"LINESTRING (-111.9262152 33.4274373, -111.9262146 33.4275817)",,,auto,1
98,47,9637510391,,187,1,3,51,1,3,3,41529701_2704829968,2704829964,thru,,,,SBT,"LINESTRING (-111.9263857 33.4240867, -111.9263874 33.4239423)",,,auto,1
99,48,2704829964,,51,4,4,52,4,4,1,9637510391,8122988904,thru,,,,SBT,"LINESTRING (-111.9263873 33.4239556, -111.9263874 33.4238112)",,,auto,1
100,48,2704829964,,51,1,1,53,1,1,1,9637510391,2704829953,thru,,,,SBT,"LINESTRING (-111.9263873 33.4239556, -111.9263474 33.4238199)",,,auto,1
101,49,8122988904,,52,4,4,167,1,1,1,2704829964,8122988905,right,,,,SBR,"LINESTRING (-111.9263832 33.4234141, -111.9264684 33.4233410)",,,auto,1
102,50,2704829953,,53,1,1,54,1,1,1,2704829964,2704829954,left,,,,SBL,"LINESTRING (-111.9262931 33.4233852, -111.9261426 33.4233396)",,,auto,1
103,50,2704829953,,53,1,1,108,1,1,1,2704829964,4347879985,uturn,,,,SBU,"LINESTRING (-111.9262931 33.4233852, -111.9262281 33.4234116)",,,auto,1
104,52,10290583690,,112,1,2,55,1,2,2,5176314770,5261052497,thru,,,,WBT,"LINESTRING (-111.9307328 33.4220422, -111.9308480 33.4220411)",,,auto,1
105,53,5261052497,,55,1,1,171,1,1,1,10290583690,8269005069,left,,,,WBL,"LINESTRING (-111.9339093 33.4220128, -111.9339898 33.4219402)",,,auto,1
106,53,5261052497,,55,2,2,182,2,2,1,10290583690,41714339,thru,,,,WBT,"LINESTRING (-111.9339093 33.4220128, -111.9340813 33.4220111)",,,auto,1
107,53,5261052497,,170,1,2,182,1,2,2,8269005069,41714339,left,,,,NBL,"LINESTRING (-111.9339898 33.4219402, -111.9340813 33.4220111)",,,auto,1
108,54,4347879979,,57,1,3,92,1,3,3,330691322,41573982,thru,,,,SBT,"LINESTRING (-111.9263001 33.4196151, -111.9262988 33.4194707)",,,auto,1
109,54,4347879979,,91,1,3,56,1,3,3,41573982,330691322,thru,,,,NBT,"LINESTRING (-111.9262988 33.4194707, -111.9263001 33.4196151)",,,auto,1
110,55,330691322,,56,1,3,178,1,3,3,4347879979,1501648953,thru,,,,NBT,"LINESTRING (-111.9263044 33.4199110, -111.9263031 33.4200553)",,,auto,1
111,55,330691322,,56,4,4,220,1,1,1,4347879979,10307913574,right,,,,NBR,"LINESTRING (-111.9263044 33.4199110, -111.9262212 33.4199690)",,,auto,1
112,55,330691322,,179,3,3,57,3,3,1,1501648953,4347879979,thru,,,,SBT,"LINESTRING (-111.9263031 33.4200553, -111.9263044 33.4199110)",,,auto,1
113,55,330691322,,179,1,1,220,1,1,1,1501648953,10307913574,left,,,,SBL,"LINESTRING (-111.9263031 33.4200553, -111.9262212 33.4199690)",,,auto,1
114,56,330683944,,65,1,2,58,1,2,2,4346575414,4346575413,thru,,,,WBT,"LINESTRING (-111.9327190 33.4147655, -111.9328910 33.4147640)",,,auto,1
115,56,330683944,,65,3,3,213,1,1,1,4346575414,42351327,right,,,,WBR,"LINESTRING (-111.9327190 33.4147655, -111.9328093 33.4148366)",,,auto,1
116,56,330683944,,180,1,1,58,1,1,1,9143759910,4346575413,uturn,,,,EBU,"LINESTRING (-111.9328697 33.4147211, -111.9328910 33.4147640)",,,auto,1
117,56,330683944,,180,1,1,213,1,1,1,9143759910,42351327,left,,,,EBL,"LINESTRING (-111.9328697 33.4147211, -111.9328093 33.4148366)",,,auto,1
118,56,330683944,,212,1,1,58,1,1,1,42351327,4346575413,right,,,,SBR,"LINESTRING (-111.9328093 33.4148366, -111.9328910 33.4147640)",,,auto,1
119,57,4346575413,,58,1,2,64,1,2,2,330683944,330683945,thru,,,,WBT,"LINESTRING (-111.9341313 33.4147575, -111.9343033 33.4147566)",,,auto,1
120,58,5200239623,,59,1,1,116,1,1,1,5200239624,863733787,thru,,,,SBT,"LINESTRING (-111.9349572 33.4155784, -111.9349569 33.4154340)",,,auto,1
121,59,4346575410,,66,1,2,60,1,2,2,330683965,330683967_330683942,thru,,,,EBT,"LINESTRING (-111.9315290 33.4146598, -111.9313570 33.4146612)",,,auto,1
122,60,4346575415,,105,1,2,61,1,2,2,10290628422,330683967_330683942,thru,,,,WBT,"LINESTRING (-111.9299289 33.4147948, -111.9301009 33.4147930)",,,auto,1
123,62,4346575409,,115,1,2,62,1,2,2,9143759910,330683965,thru,,,,EBT,"LINESTRING (-111.9336065 33.4146449, -111.9334345 33.4146452)",,,auto,1
124,63,330683965,,62,1,1,66,1,1,1,4346575409,4346575410,thru,,,,EBT,"LINESTRING (-111.9328800 33.4146446, -111.9327080 33.4146468)",,,auto,1
125,63,330683965,,62,2,2,158,1,1,1,4346575409,41830286,right,,,,EBR,"LINESTRING (-111.9328800 33.4146446, -111.9327934 33.4145736)",,,auto,1
126,63,330683965,,159,1,1,66,1,1,1,41830286,4346575410,right,,,,NBR,"LINESTRING (-111.9327934 33.4145736, -111.9327080 33.4146468)",,,auto,1
127,63,330683965,,181,1,2,66,1,2,2,4346575414,4346575410,uturn,,,,WBU,"LINESTRING (-111.9327277 33.4146911, -111.9327080 33.4146468)",,,auto,1
128,63,330683965,,181,3,3,158,1,1,1,4346575414,41830286,left,,,,WBL,"LINESTRING (-111.9327277 33.4146911, -111.9327934 33.4145736)",,,auto,1
129,64,4346575414,,63,2,2,65,3,3,1,330683967_330683942,330683944,thru,,,,WBT,"LINESTRING (-111.9321317 33.4147726, -111.9323037 33.4147705)",,,auto,1
130,64,4346575414,,63,1,1,181,1,1,1,330683967_330683942,330683965,thru,,,,WBT,"LINESTRING (-111.9321317 33.4147726, -111.9322908 33.4147367)",,,auto,1
131,66,10290628421,,104,1,2,67,1,2,2,4716134186,5146893078,thru,,,,EBT,"LINESTRING (-111.9291691 33.4146673, -111.9290590 33.4146690)",,,auto,1
132,68,41546788,,69,1,2,196,1,2,2,4346605164,2978013673,thru,,,,WBT,"LINESTRING (-111.9273010 33.4220155, -111.9274730 33.4220140)",,,auto,1
133,68,41546788,,195,1,3,68,1,3,3,2978013673,4346605164,thru,,,,EBT,"LINESTRING (-111.9274730 33.4220140, -111.9273010 33.4220155)",,,auto,1
134,69,4346605164,,68,1,4,74,1,4,4,41546788,9973576681,thru,,,,EBT,"LINESTRING (-111.9272683 33.4220160, -111.9270963 33.4220183)",,,auto,1
135,69,4346605164,,75,1,2,69,1,2,2,9973576681,41546788,thru,,,,WBT,"LINESTRING (-111.9270963 33.4220183, -111.9272683 33.4220160)",,,auto,1
136,70,4346605161,,71,1,2,111,1,2,2,41714341,5176314770,thru,,,,WBT,"LINESTRING (-111.9295125 33.4220156, -111.9296807 33.4220362)",,,auto,1
